eligiblility,notes,additional notes,Authors,Title,Volume,Issue,Source,Start page,End page,DOI,URL
0,related area,choice experiment,"Marmolejo-Duarte, C; Andres, AF",Do Energy Performance Certifications Matter in Housing Selection? Evidence from choice experiments in Barcelona,,,"SMART AND HEALTHY WITHIN THE TWO-DEGREE LIMIT (PLEA 2018), VOL 1",13,18,,
0,not Europe,,"WIRTSHAFTER, RM; HILDEBRANDT, EW",ENERGY PERFORMANCE BASED CONNECTION FEES - A CASE-STUDY IN NEW-YORK-STATE,20,12,ENERGY POLICY,1161,1173,10.1016/0301-4215(92)90095-J,http://dx.doi.org/10.1016/0301-4215(92)90095-J
0,,,"Jackson, G.K.","PILKINGTON LOW ENERGY HOUSE AT ENERGY WORLD, MILTON KEYNES.",28,3,Glass Technology,124,128,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023367295&partnerID=40&md5=c0fc3b2d1c4b568f2dd9c7aeb0321e6a
0,wider literature,,"Comerford, David A; Lange, Ian; Moro, Mirko",Proof of concept that requiring energy labels for dwellings can induce retrofitting,69,,Energy Economics,204,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/2025694092?accountid=14540&bdid=29236&_bd=jv0%2BNXubRDAobATdUagg3VzFaKU%3D
1,clear,,"Taltavull, P., Anghel, I., Ciora, C.",Impact of energy performance on transaction prices: Evidence from the apartment market in Bucharest,10,1,Journal of European Real Estate Research,57,72,10.1108/JERER-12-2016-0046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019883854&doi=10.1108%2fJERER-12-2016-0046&partnerID=40&md5=1b0fbcdb1a9fa24192c8b5ece0c3917b
1,clear,,"Copiello, S., Donati, E.",Is investing in energy efficiency worth it? Evidence for substantial price premiums but limited profitability in the housing sector,251,,Energy and Buildings,,,10.1016/j.enbuild.2021.111371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114087971&doi=10.1016%2fj.enbuild.2021.111371&partnerID=40&md5=32a6252439b09a47a8af7eb58a8b7cd3
0,,,"Jimenez-Moreno, P., Brennan, J.",Comparison of Japanese and British off-site housing manufacturers and its relation with low/zero energy/carbon houses,1,,"Proceedings of 33rd PLEA International Conference: Design to Thrive, PLEA 2017",1533,1540,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085959218&partnerID=40&md5=0ef17a2f0f4df4eeaa3e2c74c434f8f4
0,wider literature,impact of policy on energy consumption,"Aydin, E; Brounen, D",The impact of policy on residential energy consumption,169,,ENERGY,115,129,10.1016/j.energy.2018.12.030,http://dx.doi.org/10.1016/j.energy.2018.12.030
0,,,,Ace Analyser: Investor Presentations.,,,Ace Analyser: Investor Presentations,1,14,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=141856615&site=ehost-live
1,not sure,energy efficiency and cost of living,"Konstantinou, T., de Jonge, T., Oorschot, L., El Messlaki, S., van Oel, C., Asselbergs, T.","The relation of energy efficiency upgrades and cost of living, investigated in two cases of multi-residential buildings in the Netherlands",9,4,Smart and Sustainable Built Environment,615,633,10.1108/SASBE-04-2019-0044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077717427&doi=10.1108%2fSASBE-04-2019-0044&partnerID=40&md5=b62f02acf8500fc3cb16ce940b824bd6
0,not Europe,,"Spiegelhalter, T.","POE, EMS, and building energy performance certificate implementation at USC, L.A",,,PLEA 2009 - Architecture Energy and the Occupant's Perspective: Proceedings of the 26th International Conference on Passive and Low Energy Architecture,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855581797&partnerID=40&md5=f3927fe839ea325204b8239eea4ec548
0,not Europe,,"Loi, T.S.A., Ng, J.L.",Analysing households?€?responsiveness towards socio-economic determinants of residential electricity consumption in Singapore,112,,Energy Policy,415,426,10.1016/j.enpol.2017.09.052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033554024&doi=10.1016%2fj.enpol.2017.09.052&partnerID=40&md5=1dcef9875173e945235192c717cd8a61
0,,,"Park, J., Hong, W.",Antenna-on-Display and Antenna-in-Package Technologies for beyond 5G Cellular Handsets: State of the Art and Prospects,,,"2021 IEEE International Symposium on Radio-Frequency Integration Technology, RFIT 2021",,,10.1109/RFIT52905.2021.9565249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118161085&doi=10.1109%2fRFIT52905.2021.9565249&partnerID=40&md5=b439de842449299861c3caba834d9d92
0,transaction cost of renovation,,"Lundmark, Robert",Time-adjusted transaction costs for energy renovations for single-family house-owners.,114,,Energy Economics,N.PAG,1,10.1016/j.eneco.2022.106327,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=160435566&site=ehost-live
